snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
236646007#,Benign prostatic hypertrophy with outflow obstruction,2470105014#,1,1,2,5097061000006111#,Benign prostatic hypertrophy with outflow obstruction,^ESCTBE509706,NA,2470105014,NA,31
254902007#,Benign prostatic hypertroph without outflow obstruction,379771010#,1,1,2,5352601000006114#,Benign prostatic hypertrophy without outflow obstruction,^ESCTBE535260,NA,2773349010,NA,31
254902007#,Benign prostatic hypertroph without outflow obstruction (disorder),645860010#,1,1,2,5352601000006114#,Benign prostatic hypertrophy without outflow obstruction,^ESCTBE535260,NA,2773349010,NA,31
254902007#,Benign prostatic hypertrophy without outflow obstruction (disorder),2736872019#,1,1,2,5352601000006114#,Benign prostatic hypertrophy without outflow obstruction,^ESCTBE535260,NA,2773349010,NA,31
254902007#,Benign prostatic hypertrophy without outflow obstruction,2773349010#,1,1,2,5352601000006114#,Benign prostatic hypertrophy without outflow obstruction,^ESCTBE535260,NA,2773349010,NA,31
433234005#,Hyperplasia of prostate (disorder),2744359012#,0,1,1,304385011#,Prostatic hyperplasia NOS,K20z,K20z.00,2769992019,NA,32
433234005#,Hyperplasia of prostate (disorder),2744359012#,0,1,1,304382014#,Hyperplasia of prostate,K200,K200.00,2769992019,NA,32
433234005#,Hyperplasia of prostate,2769992019#,0,1,1,304385011#,Prostatic hyperplasia NOS,K20z,K20z.00,2769992019,NA,32
433234005#,Hyperplasia of prostate,2769992019#,0,1,1,304382014#,Hyperplasia of prostate,K200,K200.00,2769992019,NA,32
21173002#,Benign adenoma of prostate,35586019#,0,1,1,35587011#,Adenoma of prostate,B7C20,B7C2000,35587011,NA,32
21173002#,Benign adenoma of prostate,35586019#,0,1,1,35586019#,Benign adenoma of prostate,K20-1,K20..11,35586019,NA,32
21173002#,Adenoma of prostate,35587011#,0,1,1,35587011#,Adenoma of prostate,B7C20,B7C2000,35587011,NA,32
21173002#,Adenoma of prostate,35587011#,0,1,1,35586019#,Benign adenoma of prostate,K20-1,K20..11,35586019,NA,32
21173002#,Benign adenoma of prostate (disorder),750438010#,0,1,1,35587011#,Adenoma of prostate,B7C20,B7C2000,35587011,NA,32
21173002#,Benign adenoma of prostate (disorder),750438010#,0,1,1,35586019#,Benign adenoma of prostate,K20-1,K20..11,35586019,NA,32
47014000#,Fibroma of prostate,78361016#,0,1,1,78361016#,Fibroma of prostate,B7C21,B7C2100,78361016,NA,32
47014000#,Fibroma of prostate,78361016#,0,1,1,504861000006113#,Benign fibroma of prostate,K20-2,K20..12,78361016,NA,32
47014000#,Fibroma of prostate (disorder),784426018#,0,1,1,78361016#,Fibroma of prostate,B7C21,B7C2100,78361016,NA,32
47014000#,Fibroma of prostate (disorder),784426018#,0,1,1,504861000006113#,Benign fibroma of prostate,K20-2,K20..12,78361016,NA,32
81021006#,Myoma of prostate,134409015#,0,1,1,505011000006115#,Benign myoma of prostate,K20-3,K20..13,134409015,NA,32
81021006#,Myoma of prostate,134409015#,0,1,1,134409015#,Myoma of prostate,B7C22,B7C2200,134409015,NA,32
81021006#,Myoma of prostate (disorder),822247012#,0,1,1,505011000006115#,Benign myoma of prostate,K20-3,K20..13,134409015,NA,32
81021006#,Myoma of prostate (disorder),822247012#,0,1,1,134409015#,Myoma of prostate,B7C22,B7C2200,134409015,NA,32
11441004#,Prostatism,19794011#,0,1,1,19794011#,Prostatism,K20-6,K20..16,19794011,NA,32
11441004#,Prostatism,19794011#,0,1,1,203421000006110#,Prostatism,1AA,1AA..00,19794011,NA,32
11441004#,"Prostatism, NOS",19795012#,0,1,1,19794011#,Prostatism,K20-6,K20..16,19794011,NA,32
11441004#,"Prostatism, NOS",19795012#,0,1,1,203421000006110#,Prostatism,1AA,1AA..00,19794011,NA,32
11441004#,Prostatism (disorder),658776015#,0,1,1,19794011#,Prostatism,K20-6,K20..16,19794011,NA,32
11441004#,Prostatism (disorder),658776015#,0,1,1,203421000006110#,Prostatism,1AA,1AA..00,19794011,NA,32
61059009#,Benign prostatic hyperplasia,189443014#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
61059009#,"Benign prostatic hyperplasia, NOS",189445019#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
61059009#,Benign prostatic hypertrophy,189449013#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
155906003#,Prostatic hyper -benign,243063019#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
155906003#,Benign prostatic hypertrophy,243065014#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
155906003#,Benign prostatic hyper.,243067018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,(Benign prostate tumor (& [adenoma] or [fibroma] or [myoma]) or prostatism or benign prostatic hypertrophy,304371018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,BPH - Benign prostatic hypertrophy,304373015#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,Benign prostatic hypertrophy,304375010#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,Benign fibroma of prostate,304376011#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,BPH - benign prostatic hypertrophy,304377019#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,Benign myoma of prostate,304380018#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197957005#,(Benign prostate tumour (& [adenoma] or [fibroma] or [myoma]) or prostatism or benign prostatic hypertrophy,304381019#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
197958000#,Prostatic hyperplasia unspecified,304382014#,1,0,1,NA#,NA,NA,NA,NA,NA,NA
