MedCodeId	term	eth16	eth5	qrisk2_cat
1968501000006111	bangladeshi, bangladeshi scot or bangladeshi brit- scot 2011	10	1	4
196631000006117	race: bangladeshi	10	1	4
285956019	bangladeshi	10	1	4
1968321000006111	asian/asian british: bangladeshi - ni ethnic cat 2011 census	10	1	4
937541000006115	bangladeshi or british bangladeshi - ethn categ 2001 census	10	1	4
1968151000006117	asian/asian brit: bangladeshi- eng+wales eth cat 2011 census	10	1	4
286020010	other asian	11	1	5
405069018	e afric asian/indo-carib (nmo)	11	1	5
141541000000115	east african asian - ethnic category 2001 census	11	1	5
141521000000110	punjabi - ethnic category 2001 census	11	1	5
141571000000114	caribbean asian - ethnic category 2001 census	11	1	5
250243013	race: west indian	11	1	5
1968341000006116	asian/asian british: other asian - ni ethnic cat 2011 census	11	1	5
141381000000117	other asian background - ethnic category 2001 census	11	1	5
937651000006117	other asian or asian unspecified ethnic category 2001 census	11	1	5
411584018	indo-caribbean (nmo)	11	1	5
411583012	east african asian (nmo)	11	1	5
136081000000111	sri lankan - ethnic category 2001 census	11	1	5
1968171000006110	asian/asian brit: other asian- eng+wales eth cat 2011 census	11	1	5
141531000000112	kashmiri - ethnic category 2001 census	11	1	5
141511000000116	mixed asian - ethnic category 2001 census	11	1	5
250231012	west indian origin	11	1	5
285977016	other asian (nmo)	11	1	5
459784018	other asian ethnic group	11	1	5
141551000000117	tamil - ethnic category 2001 census	11	1	5
157301000000116	sinhalese - ethnic category 2001 census	11	1	5
285976013	indian sub-continent (nmo)	11	1	5
1968521000006118	asian: other asian group - scotland ethnic cat 2011 census	11	1	5
250224013	asian origin	11	1	5
141561000000119	british asian - ethnic category 2001 census	11	1	5
412016016	o/e - asian origin	11	1	5
1968361000006117	black/afri/carib/black brit: caribbean- ni eth cat 2011 cens	12	2	6
1968551000006110	carib/black: caribbean/carib scot/carib brit- scotland 2011	12	2	6
154401000000118	caribbean - ethnic category 2001 census	12	2	6
5516681000006114	black caribbean/west india/guyana	12	2	6
514611000006111	black caribbean	12	2	6
1968191000006111	black/african/caribbn/black brit: caribbean - eng+wales 2011	12	2	6
1564491000006115	central african	13	2	7
1968181000006113	black/african/carib/black brit: african- eng+wales 2011 cens	13	2	7
285943014	black - other african country	13	2	7
285971015	other african countries (nmo)	13	2	7
4917081000006119	central african republic	13	2	7
141391000000115	african - ethnic category 2001 census	13	2	7
1968351000006119	black/afri/carib/black brit: african- ni eth cat 2011 census	13	2	7
250223019	african origin	13	2	7
1968531000006115	african: african/african scot/african brit - scotland 2011	13	2	7
1565711000006118	south african	13	2	7
1968541000006113	african: any other african - scotland ethnic cat 2011 census	13	2	7
30683015	black african	13	2	7
453110019	black guyana	14	2	9
459782019	other black ethnic group	14	2	9
411574019	black arab	14	2	9
158351000000119	other black background - ethnic category 2001 census	14	2	9
411580010	guyana (nmo)	14	2	9
411578016	caribbean island (nmo)	14	2	9
285948017	black indian sub-continent	14	2	9
285950013	black black - other	14	2	9
196601000006113	race: afro-caribbean	14	2	9
285932018	black british	14	2	9
453109012	black west indian	14	2	9
411573013	black north african	14	2	9
285931013	black, other, non-mixed origin	14	2	9
141591000000113	somali - ethnic category 2001 census	14	2	9
