snomedcode,term_snomed,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
237835004#,Constitutional tall stature (finding),626619019#,1,1,2,356419015#,Constitutional tall stature,C1303,C130300,356419015,NA,32
237835004#,Constitutional tall stature,356419015#,1,1,2,356419015#,Constitutional tall stature,C1303,C130300,356419015,NA,32
237836003#,Short stature,2920995012#,1,1,2,5113041000006114#,SS - Short stature,^ESCTSS511304,NA,2162284013,NA,32
237836003#,Short stature,2920995012#,1,1,2,5113031000006116#,Small stature,^ESCTSM511303,NA,356421013,NA,32
237836003#,Short stature,2920995012#,1,1,2,317248019#,Short stature,R0345,R034500,2920995012,NA,32
237836003#,SS - Short stature,2162284013#,1,1,2,317248019#,Short stature,R0345,R034500,2920995012,NA,32
237836003#,SS - Short stature,2162284013#,1,1,2,5113041000006114#,SS - Short stature,^ESCTSS511304,NA,2162284013,NA,32
237836003#,Small stature,356421013#,1,1,2,5113041000006114#,SS - Short stature,^ESCTSS511304,NA,2162284013,NA,32
237836003#,Small stature,356421013#,1,1,2,5113031000006116#,Small stature,^ESCTSM511303,NA,356421013,NA,32
237836003#,Small stature,356421013#,1,1,2,317248019#,Short stature,R0345,R034500,2920995012,NA,32
