medcodeid	term
154401000000118	caribbean - ethnic category 2001 census
5516681000006114	black caribbean/west india/guyana
514611000006111	black caribbean
1968191000006111	black/african/caribbn/black brit: caribbean - eng+wales 2011
1564491000006115	central african
1968181000006113	black/african/carib/black brit: african- eng+wales 2011 cens
285943014	black - other african country
285971015	other african countries (nmo)
4917081000006119	central african republic
141391000000115	african - ethnic category 2001 census
1968351000006119	black/afri/carib/black brit: african- ni eth cat 2011 census
250223019	african origin
1968531000006115	african: african/african scot/african brit - scotland 2011
1565711000006118	south african
1968541000006113	african: any other african - scotland ethnic cat 2011 census
30683015	black african
453110019	black guyana
459782019	other black ethnic group
411574019	black arab
158351000000119	other black background - ethnic category 2001 census
411580010	guyana (nmo)
411578016	caribbean island (nmo)
285948017	black indian sub-continent
285950013	black black - other
196601000006113	race: afro-caribbean
285932018	black british
453109012	black west indian
411573013	black north african
285931013	black, other, non-mixed origin
141591000000113	somali - ethnic category 2001 census
405067016	caribbean i./w.i./guyana (nmo)
937731000006115	other black or black unspecified ethnic category 2001 census
141601000000119	nigerian - ethnic category 2001 census
405064011	black caribbean/w.i./guyana
1968571000006117	carib/black: any other black/caribbean grp - scotland 2011
158371000000111	mixed black - ethnic category 2001 census
285951012	black - other, mixed
285949013	black - other asian
405065012	black n african/arab/iranian
514651000006112	black e afric asia/indo-caribb
285930014	black caribbean
411576017	black east african asian
459730016	black - ethnic group
411577014	black indo-caribbean
411575018	black iranian
157311000000119	black british - ethnic category 2001 census
411579012	west indian (nmo)
141401000000117	chinese - ethnic category 2001 census
1968161000006115	asian/asian brit: chinese - eng+wales ethnic cat 2011 census
1968331000006114	asian/asian british: chinese - ni ethnic cat 2011 census
1968511000006114	asian: chinese - scotland ethnic category 2011 census
56590016	chinese
1968581000006119	other ethnic grp: arab/arab scot/arab british- scotland 2011
1968211000006112	other ethnic group: arab - eng+wales ethnic cat 2011 census
4740241000006117	british ethnic minority specified (nmo)
411581014	north african arab (nmo)
141631000000113	japanese - ethnic category 2001 census
1968591000006116	other ethnic grp: any other ethnic grp- scotland 2011 census
138261000000114	iranian - ethnic category 2001 census
286022019	new zealand ethnic group nos
286018012	south east asian
937871000006114	mid east (excl israeli, iranian & arab) - eth cat 2001 cens
141411000000115	other - ethnic category 2001 census
456650013	vietnamese
286017019	other pacific ethnic group
138241000000113	jewish - ethnic category 2001 census
142901000000119	any other group - ethnic category 2001 census
285959014	brit. ethnic minor. spec.(nmo)
1968221000006116	other ethnic: any other grp - eng+wales eth cat 2011 census
142881000000117	buddhist - ethnic category 2001 census
141651000000118	malaysian - ethnic category 2001 census
1968391000006113	other ethnic group: any other grp- ni ethnic cat 2011 census
937941000006111	mauritian/seychellois/maldivian/st helena eth cat 2001census
1968381000006110	other ethnic group: arab - ni ethnic category 2011 census
405068014	n african arab/iranian (nmo)
138271000000119	south and central american - ethnic category 2001 census
285988010	other ethnic nec (nmo)
141641000000116	filipino - ethnic category 2001 census
142841000000113	kurdish - ethnic category 2001 census
138251000000111	arab - ethnic category 2001 census
4740261000006118	british ethnic minority unspecified (nmo)
142811000000112	north african - ethnic category 2001 census
142851000000111	moroccan - ethnic category 2001 census
411582019	iranian (nmo)
142891000000115	sikh - ethnic category 2001 census
142861000000114	latin american - ethnic category 2001 census
141621000000111	vietnamese - ethnic category 2001 census
142831000000116	israeli - ethnic category 2001 census
138281000000117	muslim - ethnic category 2001 census
286021014	other new zealand ethnic group
285958018	other ethnic non-mixed (nmo)
459785017	other ethnic group
285960016	brit. ethnic minor. unsp (nmo)
157351000000115	hindu - ethnic category 2001 census
6270391000006119	ethnic groups (1991 census) (united kingdom)
2484511000000112	ethnic category - 2011 census england and wales
2484551000000111	ethnic category - 2011 census northern ireland
253628018	o/e - ethnic origin
286006015	new zealand ethnic groups
649261000006110	ethnic groups (census)
286003011	ethnic groups (census) nos
141421000000114	ethnic category not stated - 2001 census
6591911000006117	ethnic groups
2484471000000115	ethnic category - 2011 census
6591901000006115	ethnicity
6270381000006117	ethnic groups (1991 census) (uk)
141291000000111	ethnic category - 2001 census
4740421000006111	ethnicity / related nationality data
253627011	o/e - ethnic group
2484591000000115	ethnic category - 2011 census scotland
456651012	ethnic group not given - patient refused
456652017	ethnic group not recorded
253635014	o/e - ethnic group nos
286005016	ethnicity and other related nationality data
6364801000006112	ethnic category
