MedCodeID	Term
359211000006118	[X] Unilateral primary gonarthrosis
400355013	[X]Other primary gonarthrosis
5140581000006112	Degenerative joint disease of knee
5140621000006112	OA - Osteoarthritis of ankle
5140631000006110	Degenerative joint disease of ankle
359168010	Ankle arthritis NOS
310026019	Osteoarthritis NOS, of ankle
359385016	Osteoarthritis of ankle
5140671000006113	Degenerative joint disease of subtalar joint
5140661000006118	OA - Osteoarthritis of subtalar joint
310027011	Osteoarthritis of subtalar joint
5140711000006112	Osteoarthritis of first MTPJ (metatarsophalangeal joint)
5140691000006114	OA - Osteoarthritis of first metatarsophalangeal joint
5140701000006114	Degenerative joint disease of first metatarsophalangeal joint
41301000006112	Osteoarthritis of first metatarsophalangeal joint
359383011	Osteoarthritis of toe joint
31071000006117	Osteoarthritis NOS, of IP joint of toe
5140741000006111	Degenerative joint disease of toe joint
31091000006116	Osteoarthritis NOS, of lesser MTP joint
5140731000006118	OA - Osteoarthritis of toe joint
359432012	Lumbar spondylosis
611421000006111	Degeneration of lumbar spine
359433019	Osteoarthritis of lumbar spine
5140811000006115	Endemic generalized osteo-arthrosis
5140821000006111	Endemic generalised osteo-arthrosis
5140801000006118	Endemic osteoarthritis
2905191000006117	Secondary localised osteoarthrosis of pelvic region
2905201000006119	Secondary localized osteoarthrosis of pelvic region
5350221000006119	Osteoarthritis deformans
5350231000006116	Osteoarthrosis deformans
400175010	Generalised osteoarthritis of the hand
5502261000006116	Generalized osteoarthritis of the hand
736171000006110	Localised, secondary osteoarthritis of the pelvic region and thigh
5502281000006114	Localized, secondary osteoarthritis of the pelvic region and thigh
890841000006118	Cervical spond.- no myelopathy
400267013	Cervical spondylosis without myelopathy
5572121000006111	Degenerative joint disease of metacarpophalangeal joint
31101000006110	Osteoarthritis of metacarpophalangeal joint
2961811000006118	Primary localised osteoarthrosis of multiple sites
2961821000006114	Primary localized osteoarthrosis of multiple sites
8096331000006110	Osteoarthritis of hip co-occurrent and due to dysplasia
8096351000006115	Bilateral osteoarthritis of first carpometacarpal joint
8096371000006113	Osteoarthritis of bothfirst carpometacarpal joints
8096361000006118	Osteoarthritis of bilateral first carpometacarpal joints
5986511000006111	Degenerative joint disease of foot
359384017	Osteoarthritis of foot joint
309889014	Localised, primary osteoarthritis of the forearm
6028021000006113	Localized, primary osteoarthritis of the wrist
457118013	Localised, primary osteoarthritis of the wrist
457121010	Localised, primary osteoarthritis of toe
6028041000006118	Localized, primary osteoarthritis of toe
309888018	Localised, primary osteoarthritis of the upper arm
457122015	Localised, primary osteoarthritis of elbow
6028061000006119	Localized, primary osteoarthritis of elbow
8101991000006113	Osteoarthritis of joint of left ankle
3526441016	Osteoarthritis of joint of left elbow
8102011000006113	Osteoarthritis of joint of left shoulder region
8102021000006117	Osteoarthritis of joint of left wrist
8102031000006119	Osteoarthritis of joint of right ankle and/or foot
8102041000006112	Osteoarthritis of joint of right elbow
8102071000006116	Osteoarthritis of joint of right shoulder
11892541000006115	Osteoarthritis of joint of right shoulder region
8102081000006118	Osteoarthritis of joint of right wrist
8103611000006110	Osteoarthritis of left hip joint
8103621000006119	Osteoarthritis of left knee joint
8103651000006111	Osteoarthritis of right hip joint
8103661000006113	Osteoarthritis of right knee joint
3035271000006119	Osteoarthrosis involving multiple sites but not designated as generalized
3035261000006114	Osteoarthrosis involving multiple sites but not designated as generalised
309942011	Localised osteoarthritis
3046461000006119	Localized osteoarthritis
400181019	Localised osteoarthritis, unspecified, of the lower leg
309971012	Localised osteoarthritis, unspecified, NOS
309949019	Localised osteoarthritis, unspecified, of the upper arm
3046451000006116	Localized osteoarthrosis
3046471000006114	Localized osteoarthropathy
3046441000006118	Localised osteoarthrosis
3046481000006112	Localised osteoarthropathy
736701000006117	Localised osteoarthritis, unspecified, of other spec site
309945013	Localised osteoarthritis, unspecified, of unspecified site
819391000006114	Heberden's node
6357611000006112	Heberden node
6383391000006113	Osteoarthritis of glenohumeral joint
6383401000006110	Degenerative joint disease of glenohumeral joint
359388019	Osteoarthrosis of the carpometacarpal joint of the thumb
309969012	Arthrosis of first carpometacarpal joint, unspecified
3110351000006113	Osteoarthritis of first carpometacarpal joint
3110361000006110	Osteoarthritis basilar joint of thumb
219611000000112	Osteoarthritis cervical spine
1492276018	Osteoarthritis of cervical spine
6478121000006115	Cervical spondylarthritis
1481870016	Cervical spondylosis
6478131000006117	Cervical spine degeneration
6478111000006111	CS - Cervical spondylosis
1705871000006118	Cervical spondylosis
6478091000006119	Cervical osteoarthritis
6478181000006116	Thoracic spondylarthritis
1481872012	Thoracic spondylosis
1492281010	Osteoarthritis of thoracic spine
6478191000006118	Thoracic osteoarthritis
6549791000006116	Exacerbation of osteoarthritis
6564781000006111	Referral to rheumatology service for osteoarthritis
400184010	Osteoarthritis NOS, of the forearm
309979014	Oligoarticular osteoarthritis, unspecified, of lower leg
41261000006115	Osteoarthritis and allied disorders
757071000006113	Joint degeneration
6566801000006118	Degenerative joint disease
6566781000006117	OA - Osteoarthrosis
