MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
5096311000006113	CMV - Cytomegalovirus-induced glomerulonephritis	^ESCTCM509631		236590008	354637010	NA	32
7724871000006110	Recurrent hematuria co-occurrent and due to diffuse crescentic glomerulonephritis	^ESCTRE772487		714815007	3300525013	NA	32
4788511000006114	Chronic glomerulonephritis associated with another disorder	^ESCTCH478851		197616000	2575711014	NA	32
5093551000006112	Idiopathic crescentic glomerulonephritis	^ESCTID509355		236398000	354362015	NA	32
12107561000006114	Vasculitis with glomerulonephritis	^ESCT1210756		90971000119103	3647363012	NA	31
5093481000006115	Endocapillary glomerulonephritis	^ESCTEN509348		236393009	354354011	NA	31
7724881000006113	Persistent haematuria co-occurrent and due to diffuse crescentic glomerulonephritis	^ESCTPE772488		714816008	3300529019	NA	31
2521191000006118	Necrotizing glomerulonephritis	^ESCTNE252119		1426004	3481019	NA	31
3403681000006115	Idiopathic crescentic glomerulonephritis type 3	^ESCTID340368		55652009	3035785013	NA	31
354349019	Hypocomplementaemic persistent glomerulonephritis NEC	K032y-1	K032y11	197613008	303860019	NA	32
3544341000006115	Diffuse crescentic glomerulonephritis	^ESCTDI354434		64212008	106739010	NA	32
5093581000006116	Proliferative crescentic glomerulonephritis	^ESCTPR509358		236398000	3029375014	NA	32
303820015	Other acute glomerulonephritis NOS	K00yz	K00yz00	19351000	32619017	NA	32
303864011	Other chronic glomerulonephritis	K02y	K02y.00	20917003	35171019	NA	32
354352010	Rapidly progressive glomerulonephritis	K0A8	K0A8.00	236392004	354352010	NA	32
303816019	Acute glomerulonephritis in diseases EC	K00y0	K00y000	197582001	303816019	NA	32
12107571000006120	Glomerulonephritis co-occurrent and due to vasculitis	^ESCT1210757		90971000119103	3647365017	NA	31
