readcode,term_readcode,category,MedCodeId,Term,OriginalReadCode,CleansedReadCode,SnomedCTConceptId,SnomedCTDescriptionId,Release,EmisCodeCategoryId,final_readcode
13uQ.#,Main spoken language Estonian,First Language Not English,671351000000111#,Main spoken language Estonian,13uQ,13uQ.00,698659003,2975382014,NA,17,13uQ.00#
13uR.#,Main spoken language Faeroese,First Language Not English,671411000000115#,Main spoken language Faeroese,13uR,13uR.00,698660008,2641521000000110,NA,17,13uR.00#
13uS.#,Main spoken language Fijian,First Language Not English,671491000000112#,Main spoken language Fijian,13uS,13uS.00,698897001,2981714019,NA,17,13uS.00#
13uT.#,Main spoken language Finnish,First Language Not English,2533545014#,Main spoken language Finnish,13uT,13uT.00,414640006,2533545014,NA,17,13uT.00#
13uV.#,Main spoken language Frisian,First Language Not English,671631000000113#,Main spoken language Frisian,13uV,13uV.00,698661007,2975403018,NA,17,13uV.00#
13uW.#,Main spoken language Galician,First Language Not English,671691000000114#,Main spoken language Galician,13uW,13uW.00,698662000,2975144013,NA,17,13uW.00#
13uX.#,Main spoken language Georgian,First Language Not English,671751000000110#,Main spoken language Georgian,13uX,13uX.00,698898006,2981763015,NA,17,13uX.00#
13uY.#,Main spoken language Kalaallisut,First Language Not English,671811000000118#,Main spoken language Greenlandic,13uY-1,13uY.11,698904004,2337511000000119,NA,17,13uY.11#
13uY.#,Main spoken language Kalaallisut,First Language Not English,676151000000117#,Main spoken language Kalaallisut,13uY,13uY.00,698904004,2981813018,NA,17,13uY.00#
13uZ.#,Main spoken language Guarani,First Language Not English,671871000000111#,Main spoken language Guarani,13uZ,13uZ.00,698899003,2981531012,NA,17,13uZ.00#
13ua.#,Main spoken language Hungarian,First Language Not English,671931000000117#,Main spoken language Hungarian,13ua,13ua.00,698900008,2981558017,NA,17,13ua.00#
13ub.#,Main spoken language Icelandic,First Language Not English,671991000000116#,Main spoken language Icelandic,13ub,13ub.00,698663005,2975259014,NA,17,13ub.00#
13uc.#,Main spoken language Indonesian,First Language Not English,672051000000117#,Main spoken language Indonesian,13uc,13uc.00,698901007,2981732019,NA,17,13uc.00#
13ud.#,Main spoken language Interlingua,First Language Not English,672111000000115#,Main spoken language Interlingua,13ud,13ud.00,698664004,2975348015,NA,17,13ud.00#
13ue.#,Main spoken language Interlingue,First Language Not English,672171000000113#,Main spoken language Interlingue,13ue,13ue.00,698902000,2981835014,NA,17,13ue.00#
13uf.#,Main spoken language Inupiaq,First Language Not English,672231000000115#,Main spoken language Inupiaq,13uf,13uf.00,698666002,2975375010,NA,17,13uf.00#
13ug.#,Main spoken language Inuktitut,First Language Not English,672291000000119#,Main spoken language Inuktitut,13ug,13ug.00,698665003,2975193015,NA,17,13ug.00#
13uh.#,Main spoken language Irish,First Language Not English,672351000000119#,Main spoken language Irish,13uh,13uh.00,698667006,2975226011,NA,17,13uh.00#
13ui.#,Main spoken language Javanese,First Language Not English,672411000000110#,Main spoken language Javanese,13ui,13ui.00,698903005,2981729017,NA,17,13ui.00#
13uj.#,Main spoken language Kannada,First Language Not English,672471000000117#,Main spoken language Kannada,13uj,13uj.00,698905003,2981752018,NA,17,13uj.00#
13uk.#,Main spoken language Kashmiri,First Language Not English,672531000000118#,Main spoken language Kashmiri,13uk,13uk.00,698906002,2981690016,NA,17,13uk.00#
13ul.#,Main spoken language Kazakh,First Language Not English,672591000000117#,Main spoken language Kazakh,13ul,13ul.00,698668001,2975247010,NA,17,13ul.00#
13um.#,Main spoken language Kinyarwanda,First Language Not English,672651000000112#,Main spoken language Kinyarwanda,13um,13um.00,698907006,2981964016,NA,17,13um.00#
13un.#,Main spoken language Kirghiz,First Language Not English,672711000000119#,Main spoken language Kirghiz,13un,13un.00,698908001,2981824016,NA,17,13un.00#
13uo.#,Main spoken language Rundi,First Language Not English,672771000000112#,Main spoken language Rundi,13uo,13uo.00,698679006,2975387015,NA,17,13uo.00#
13up.#,Main spoken language Lao,First Language Not English,672831000000116#,Main spoken language Lao,13up,13up.00,698669009,2975273017,NA,17,13up.00#
13uq.#,Main spoken language Bamun,First Language Not English,1166921000000115#,Main spoken language Bamun,13uq,13uq.00,609092003,2958733012,NA,17,13uq.00#
13uq.#,Main spoken language Bamun,First Language Not English,1166931000000118#,Main spoken language Bamoun,13uq-1,13uq.11,609092003,2958733012,NA,17,13uq.11#
13ur.#,Main spoken language Latvian,First Language Not English,672951000000118#,Main spoken language Latvian,13ur,13ur.00,698909009,2981677011,NA,17,13ur.00#
13us.#,Main spoken language Macedonian,First Language Not English,673011000000110#,Main spoken language Macedonian,13us,13us.00,698670005,2975266010,NA,17,13us.00#
13ut.#,Main spoken language Malagasy,First Language Not English,673071000000117#,Main spoken language Malagasy,13ut,13ut.00,698671009,2975199016,NA,17,13ut.00#
13uu.#,Main spoken language Malay,First Language Not English,673131000000115#,Main spoken language Malay,13uu,13uu.00,698672002,2975473019,NA,17,13uu.00#
13uv.#,Main spoken language Maltese,First Language Not English,673191000000119#,Main spoken language Maltese,13uv,13uv.00,698910004,2981916013,NA,17,13uv.00#
13uw.#,Main spoken language Maori,First Language Not English,673251000000116#,Main spoken language Maori,13uw,13uw.00,698673007,2975304013,NA,17,13uw.00#
13ux.#,Main spoken language Marathi,First Language Not English,673311000000113#,Main spoken language Marathi,13ux,13ux.00,698674001,2975414015,NA,17,13ux.00#
13uy.#,Main spoken language Moldavian,First Language Not English,673371000000115#,Main spoken language Moldavian,13uy,13uy.00,698911000,2981527018,NA,17,13uy.00#
