V2_READ_CODE,V2_TERM,V3_READ_CODE,V3_TERM,SNOMED_CONCEPTID,SNOMED_TERM
44OE.#,Plasma total cholesterol level,XaIRd#,Plasma total cholesterol level,1017161000000104#,Plasma total cholesterol level
44OE.#,Plasma total cholesterol level,XaIRd#,Plasma total cholesterol level,390956002#,Plasma total cholesterol level
44P..#,Serum cholesterol,XE2eD#,Serum cholesterol level,1005671000000105#,Serum cholesterol level
44P9.#,Serum cholesterol studies,44P9.#,Serum cholesterol studies,1026441000000100#,Serum cholesterol studies
44PJ.#,Serum total cholesterol level,XaJe9#,Serum total cholesterol level,994351000000103#,Serum total cholesterol level
44PJ.#,Serum total cholesterol level,XaJe9#,Serum total cholesterol level,412808005#,Serum total cholesterol measurement
