"V2_READ_CODE","V2_TERM","V3_READ_CODE","V3_TERM","SNOMED_CONCEPTID","SNOMED_TERM"
"44M4.#","Serum albumin","XE2eA#","Serum albumin level","1000821000000103#","Serum albumin level"
"44M4.#","Serum albumin","XE2eA#","Serum albumin level","104485008#","Albumin measurement, serum"
"44MI.#","Plasma albumin level","XaIRc#","Plasma albumin level","1013361000000105#","Plasma albumin level"
"44MI.#","Plasma albumin level","XaIRc#","Plasma albumin level","390955003#","Plasma albumin level"
