V2_READ_CODE,V2_TERM,V3_READ_CODE,V3_TERM,SNOMED_CONCEPTID,SNOMED_TERM
44J7.#,Albumin / creatinine ratio,X773Y#,Albumin/creatinine ratio,1028271000000109#,Albumin/creatinine ratio
46TC.#,Urine albumin:creatinine ratio,XE2n3#,Urine albumin/creatinine ratio,1023491000000104#,Urine albumin:creatinine ratio
46TC.#,Urine albumin:creatinine ratio,XE2n3#,Urine albumin/creatinine ratio,271075006#,Urine albumin/creatinine ratio measurement
46TD.#,Urine microalb:creatnine ratio,XE2n4#,Urine microalb/creatnine ratio,1027791000000103#,Urine microalbumin/creatinine ratio
