"V2_READ_CODE","V2_TERM","V3_READ_CODE","V3_TERM","SNOMED_CONCEPTID","SNOMED_TERM"
"423..#","Haemoglobin estimation","Xa96v#","Haemoglobin concentration","1022431000000105#","Haemoglobin estimation"
"423..#","Haemoglobin estimation","Xa96v#","Haemoglobin concentration","271026005#","Haemoglobin level estimation"
"423..#","Haemoglobin estimation","Xa96v#","Haemoglobin concentration","442673006#","Measurement of total haemoglobin concentration using dipstick"
