V2_READ_CODE,V2_TERM,V3_READ_CODE,V3_TERM,SNOMED_CONCEPTID,SNOMED_TERM
467A.#,24 hour urine protein output,XaENw#,24 hour urine protein output,1016051000000101#,24 hour urine protein output
467A.#,24 hour urine protein output,XaENw#,24 hour urine protein output,19518008#,"Protein measurement, urine, quantitative 24 hour"
46N5.#,24 hr urine protein excre test,X77YO#,24 hour urine protein exc test,1028571000000106#,24 hour urine protein excretion test
