V2_READ_CODE,V2_TERM,V3_READ_CODE,V3_TERM,SNOMED_CONCEPTID,SNOMED_TERM
44lD.#,Urine protein/creatinine ratio,XaEMS#,Urine protein/creatinine ratio,1028731000000100#,Urine protein/creatinine ratio
44lD.#,Urine protein/creatinine ratio,XaEMS#,Urine protein/creatinine ratio,313500004#,Urine protein/creatinine ratio measurement
44lzX#,Rand urine protein:creat ratio,XabrL#,Rand urine protein:creat ratio,1006631000000104#,Random urine protein:creatinine ratio
44lzX#,Rand urine protein:creat ratio,XabrL#,Rand urine protein:creat ratio,936241000000106#,Random urine protein:creatinine ratio measurement
46N7.#,Urine protein/creatinine index,XaIz7#,Urine protein/creatinine index,1030991000000102#,Urine protein/creatinine index
46N7.#,Urine protein/creatinine index,XaIz7#,Urine protein/creatinine index,401095009#,Urine protein/creatinine index
