V2_READ_CODE,V2_TERM,V3_READ_CODE,V3_TERM,SNOMED_CONCEPTID,SNOMED_TERM
44TK.#,Fasting blood glucose level,XE2mq#,Fasting blood glucose level,997681000000108#,Fasting blood glucose level
44TK.#,Fasting blood glucose level,XE2mq#,Fasting blood glucose level,271062006#,Fasting blood glucose measurement
44f1.#,Serum fasting glucose level,44f1.#,Serum fasting glucose level,1003131000000101#,Serum fasting glucose level
44f1.#,Serum fasting glucose level,44f1.#,Serum fasting glucose level,167087006#,Serum fasting glucose measurement
44g1.#,Plasma fasting glucose level,44g1.#,Plasma fasting glucose level,1003141000000105#,Plasma fasting glucose level
44g1.#,Plasma fasting glucose level,44g1.#,Plasma fasting glucose level,167096006#,Plasma fasting glucose measurement
