"V2_READ_CODE","V2_TERM","V3_READ_CODE","V3_TERM","SNOMED_CONCEPTID","SNOMED_TERM","KEY"
"46M7.#","Urine creatinine","XE2qO#","Urine creatinine level","1003271000000106#","Urine creatinine level","CREAT"
"46M7.#","Urine creatinine","XE2qO#","Urine creatinine level","271260009#","Creatinine measurement, urine","CREAT"
