"V2_READ_CODE","V2_TERM","V3_READ_CODE","V3_TERM","SNOMED_CONCEPTID","SNOMED_TERM"
"46W..#","Urine microalbumin","XE2bw#","Urine microalbumin level","1010251000000109#","Urine microalbumin level"
"46W..#","Urine microalbumin","XE2bw#","Urine microalbumin level","46716003#","Microalbuminuria measurement"
"46N8.#","Urine microalbumin profile","XaJmI#","Urine microalbumin profile","994621000000103#","Urine microalbumin profile"
"46N8.#","Urine microalbumin profile","XaJmI#","Urine microalbumin profile","412902007#","Urine microalbumin profile"
