V2_READ_CODE,V2_TERM,V3_READ_CODE,V3_TERM,SNOMED_CONCEPTID,SNOMED_TERM
44G3.#,ALT/SGPT serum level,XaLJx#,Serum ALT level,1018251000000107#,Serum alanine aminotransferase level
44G3.#,ALT/SGPT serum level,XaLJx#,Serum ALT level,34608000#,Alanine aminotransferase measurement
44G3.#,ALT/SGPT serum level,XaLJx#,Serum ALT level,201321000000108#,Serum alanine aminotransferase level
44GA.#,Plasma ALT level,XaIRi#,Plasma ALT level,1013211000000103#,Plasma alanine aminotransferase level
44GA.#,Plasma ALT level,XaIRi#,Plasma ALT level,390961000#,Plasma alanine aminotransferase level
44GB.#,Serum ALT level,XaLJx#,Serum ALT level,1018251000000107#,Serum alanine aminotransferase level
44GB.#,Serum ALT level,XaLJx#,Serum ALT level,34608000#,Alanine aminotransferase measurement
44GB.#,Serum ALT level,XaLJx#,Serum ALT level,201321000000108#,Serum alanine aminotransferase level
