snomedcode,term_snomed,category,id,search_terms,read_mapping,matchtotal,MedCodeId,term_medcode,OriginalReadCode,CleansedReadCode,SnomedCTDescriptionId,Release,EmisCodeCategoryId
315570003#,Main spoken language English,Speaks English,460087014#,1,1,2,460087014#,Main spoken language English,13l4,13l4.00,460087014,NA,17
315570003#,Main spoken language English (finding),Speaks English,712474010#,1,1,2,460087014#,Main spoken language English,13l4,13l4.00,460087014,NA,17
161148002#,Speaks English poorly,Non-English speaking,251256011#,1,1,2,251256011#,Speaks English poorly,13Z68,13Z6800,251256011,NA,17
161148002#,Speaks English poorly (finding),Non-English speaking,542144018#,1,1,2,251256011#,Speaks English poorly,13Z68,13Z6800,251256011,NA,17
315588006#,Main spoken language Urdu,First Language Not English,460106016#,1,1,2,460106016#,Main spoken language Urdu,13lL,13lL.00,460106016,NA,17
315588006#,Main spoken language Urdu (finding),First Language Not English,712495017#,1,1,2,460106016#,Main spoken language Urdu,13lL,13lL.00,460106016,NA,17
315593009#,Need for interpreter,Non-English speaking,460111019#,1,1,2,460111019#,Need for interpreter,9NU,9NU..00,460111019,NA,37
315593009#,Need for interpreter (finding),Non-English speaking,712500019#,1,1,2,460111019#,Need for interpreter,9NU,9NU..00,460111019,NA,37
315594003#,Interpreter needed,Non-English speaking,460112014#,1,1,2,1681051000006110#,Other interpreter needed,9Nm,9Nm..00,460112014,NA,37
315594003#,Interpreter needed,Non-English speaking,460112014#,1,1,2,1681661000006118#,Further interpreter needed,9Nn,9Nn..00,460112014,NA,37
315594003#,Interpreter needed,Non-English speaking,460112014#,1,1,2,460112014#,Interpreter needed,9NU0,9NU0.00,460112014,NA,37
315594003#,Interpreter needed (finding),Non-English speaking,712502010#,1,1,2,1681051000006110#,Other interpreter needed,9Nm,9Nm..00,460112014,NA,37
315594003#,Interpreter needed (finding),Non-English speaking,712502010#,1,1,2,1681661000006118#,Further interpreter needed,9Nn,9Nn..00,460112014,NA,37
315594003#,Interpreter needed (finding),Non-English speaking,712502010#,1,1,2,460112014#,Interpreter needed,9NU0,9NU0.00,460112014,NA,37
314430004#,Presence of interpreter,Non-English speaking,458791014#,1,1,2,458791014#,Presence of interpreter,9NQ,9NQ..00,458791014,NA,37
314430004#,Presence of interpreter (finding),Non-English speaking,711234016#,1,1,2,458791014#,Presence of interpreter,9NQ,9NQ..00,458791014,NA,37
314431000#,Interpreter present,Non-English speaking,458792019#,1,1,2,458792019#,Interpreter present,9NQ0,9NQ0.00,458792019,NA,37
314431000#,Interpreter present (finding),Non-English speaking,711235015#,1,1,2,458792019#,Interpreter present,9NQ0,9NQ0.00,458792019,NA,37
503511000000100#,NA,First Language Not English,NA#,0,1,1,1118721000000116#,Main spoken language Filipino,13w4,13w4.00,1.12E+15,NA,17
511841000000102#,NA,First Language Not English,NA#,0,1,1,1138281000000117#,Main spoken language Hindko,13w9,13w9.00,1.14E+15,NA,17
809341000000106#,NA,First Language Not English,NA#,0,1,1,2112371000000116#,Main spoken language Aragonese,13wc,13wc.00,2.11E+15,NA,17
910241000000102#,NA,First Language Not English,NA#,0,1,1,2339911000000119#,First language not English,13Z69,13Z6900,2.34E+15,NA,17
1047281000000107#,NA,Non-English speaking,NA#,0,1,1,2638621000000115#,Does not speak English,13ZA0,NA,2.64E+15,NA,17
971041000000105#,NA,First Language Not English,NA#,0,1,1,1706151000006112#,Main spoken language Western Frisian,EMISNQMA43,NA,2.47E+15,NA,17
971041000000105#,NA,First Language Not English,NA#,0,1,1,8356391000006115#,Main spoken language Western Frisian,^ESCTMA835639,NA,8.36E+15,NA,17
970991000000108#,NA,First Language Not English,NA#,0,1,1,1706481000006111#,Main spoken language Tahitian,EMISNQMA76,NA,2.47E+15,NA,17
970991000000108#,NA,First Language Not English,NA#,0,1,1,8356331000006119#,Main spoken language Tahitian,^ESCTMA835633,NA,8.36E+15,NA,17
971011000000109#,NA,First Language Not English,NA#,0,1,1,8356341000006112#,Main spoken language Venda,^ESCTMA835634,NA,8.36E+15,NA,17
971011000000109#,NA,First Language Not English,NA#,0,1,1,1706491000006114#,Main spoken language Venda,EMISNQMA77,NA,2.47E+15,NA,17
971021000000103#,NA,First Language Not English,NA#,0,1,1,8356361000006111#,Main spoken language VolapÃ¼k,^ESCTMA835636,NA,2.47E+15,NA,17
971021000000103#,NA,First Language Not English,NA#,0,1,1,8356371000006116#,Main spoken language Volapuk,^ESCTMA835637,NA,8.36E+15,NA,17
